codigo,arquitectura,tokens,estadistico,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
M4.1,B0,,mediana_entre_tareas,2765.57295,2371.2695,3384.34175,40.0,120
M4.1,B1,,mediana_entre_tareas,2897.2287,2308.9631,3427.3327,40.0,120
M4.1,B2,,mediana_entre_tareas,6601.1315,4782.3355,8814.9397,40.0,120
M4.1,B3,,mediana_entre_tareas,7415.01915,4512.63685,8990.0596,40.0,120
M4.1,B0,,p95_ejecuciones,7125.917725,,,,120
M4.1,B0,,rango_intercuartilico_ejecuciones,1670.971825,,,,120
M4.1,B1,,p95_ejecuciones,6961.6152,,,,120
M4.1,B1,,rango_intercuartilico_ejecuciones,1591.659925,,,,120
M4.1,B2,,p95_ejecuciones,12853.40726,,,,120
M4.1,B2,,rango_intercuartilico_ejecuciones,6260.221775,,,,120
M4.1,B3,,p95_ejecuciones,13227.34124,,,,120
M4.1,B3,,rango_intercuartilico_ejecuciones,5959.575825,,,,120
M4.4,B0,,mediana_entre_tareas,3.0,2.0,3.0,40.0,120
M4.4,B1,,mediana_entre_tareas,3.0,2.0,3.0,40.0,120
M4.4,B2,,mediana_entre_tareas,7.0,4.5,8.0,40.0,120
M4.4,B3,,mediana_entre_tareas,7.0,4.0,8.0,40.0,120
M4.5,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.5,B1,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.5,B2,,mediana_entre_tareas,4.0,2.0,4.0,40.0,120
M4.5,B3,,mediana_entre_tareas,4.0,2.0,4.0,40.0,120
M4.6,B0,total,mediana_entre_tareas,15526.0,10578.5,16228.5,40.0,120
M4.6,B1,total,mediana_entre_tareas,15795.5,10583.0,16272.5,40.0,120
M4.6,B2,total,mediana_entre_tareas,23269.0,17932.0,30188.0,40.0,120
M4.6,B3,total,mediana_entre_tareas,24634.0,15895.5,30364.0,40.0,120
M4.6,B0,entrada,mediana_entre_tareas,15312.0,10436.5,15952.0,40.0,120
M4.6,B1,entrada,mediana_entre_tareas,15531.0,10434.0,15980.0,40.0,120
M4.6,B2,entrada,mediana_entre_tareas,22661.5,17323.0,29537.5,40.0,120
M4.6,B3,entrada,mediana_entre_tareas,23913.5,15461.5,29592.0,40.0,120
M4.6,B0,salida,mediana_entre_tareas,235.5,209.0,277.0,40.0,120
M4.6,B1,salida,mediana_entre_tareas,232.5,200.5,287.5,40.0,120
M4.6,B2,salida,mediana_entre_tareas,617.5,461.0,834.0,40.0,120
M4.6,B3,salida,mediana_entre_tareas,678.0,401.5,844.5,40.0,120
M4.6,B0,total,suma_corrida,1986121.0,,,,120
M4.6,B1,total,suma_corrida,2021922.0,,,,120
M4.6,B2,total,suma_corrida,3106708.0,,,,120
M4.6,B3,total,suma_corrida,3082635.0,,,,120
M4.6,,total,suma_corrida,10197386.0,,,,480
M4.7,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B1,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B2,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B3,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B0,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
M4.7,B1,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
M4.7,B2,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
M4.7,B3,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
