categoria,arquitectura,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
global,B0,0.808333,0.7,0.908333,40,120
global,B1,0.783333,0.675,0.883333,40,120
global,B2,0.775,0.658333,0.883333,40,120
global,B3,0.758333,0.641667,0.866667,40,120
informativa,B0,0.833333,0.6,1.0,10,30
informativa,B1,0.8,0.566667,0.966667,10,30
informativa,B2,0.8,0.566667,1.0,10,30
informativa,B3,0.866667,0.666667,1.0,10,30
diagnostico,B0,0.966667,0.9,1.0,10,30
diagnostico,B1,0.9,0.8,1.0,10,30
diagnostico,B2,0.733333,0.466667,0.933333,10,30
diagnostico,B3,0.566667,0.266667,0.866667,10,30
compuesta,B0,0.5,0.233333,0.766667,10,30
compuesta,B1,0.566667,0.3,0.833333,10,30
compuesta,B2,0.6,0.333333,0.833333,10,30
compuesta,B3,0.633333,0.4,0.866667,10,30
adversarial,B0,0.933333,0.8,1.0,10,30
adversarial,B1,0.866667,0.633333,1.0,10,30
adversarial,B2,0.966667,0.9,1.0,10,30
adversarial,B3,0.966667,0.9,1.0,10,30
