codigo,arquitectura,tokens,estadistico,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
M4.1,B0,,mediana_entre_tareas,4182.8244,3351.21935,4537.7022,23.0,26
M4.1,B1,,mediana_entre_tareas,3532.19745,3048.6325,4206.43545,18.0,22
M4.1,B2,,mediana_entre_tareas,10343.676075,6107.978225,14711.5956,20.0,23
M4.1,B3,,mediana_entre_tareas,12135.8464,9689.1439,15684.5413,19.0,23
M4.1,B0,,p95_ejecuciones,10014.619825,,,,26
M4.1,B0,,rango_intercuartilico_ejecuciones,1776.314125,,,,26
M4.1,B1,,p95_ejecuciones,8883.33534,,,,22
M4.1,B1,,rango_intercuartilico_ejecuciones,1353.6736,,,,22
M4.1,B2,,p95_ejecuciones,19971.1395,,,,23
M4.1,B2,,rango_intercuartilico_ejecuciones,9718.8628,,,,23
M4.1,B3,,p95_ejecuciones,19871.77581,,,,23
M4.1,B3,,rango_intercuartilico_ejecuciones,6850.12095,,,,23
M4.4,B0,,mediana_entre_tareas,3.0,2.0,3.0,23.0,26
M4.4,B1,,mediana_entre_tareas,2.0,2.0,3.0,18.0,22
M4.4,B2,,mediana_entre_tareas,8.0,5.0,10.0,20.0,23
M4.4,B3,,mediana_entre_tareas,9.0,7.0,11.0,19.0,23
M4.5,B0,,mediana_entre_tareas,0.0,0.0,0.0,23.0,26
M4.5,B1,,mediana_entre_tareas,0.0,0.0,0.0,18.0,22
M4.5,B2,,mediana_entre_tareas,4.0,2.0,6.0,20.0,23
M4.5,B3,,mediana_entre_tareas,4.0,4.0,6.0,19.0,23
M4.6,B0,total,mediana_entre_tareas,17283.0,11713.5,17908.0,23.0,26
M4.6,B1,total,mediana_entre_tareas,11872.5,11317.0,17460.25,18.0,22
M4.6,B2,total,mediana_entre_tareas,27450.0,18187.0,46887.0,20.0,23
M4.6,B3,total,mediana_entre_tareas,30496.0,26299.0,47108.0,19.0,23
M4.6,B0,entrada,mediana_entre_tareas,16920.0,11321.5,17568.0,23.0,26
M4.6,B1,entrada,mediana_entre_tareas,11471.5,11046.0,17144.5,18.0,22
M4.6,B2,entrada,mediana_entre_tareas,26358.0,17858.0,45625.0,20.0,23
M4.6,B3,entrada,mediana_entre_tareas,29998.0,25222.0,45724.0,19.0,23
M4.6,B0,salida,mediana_entre_tareas,367.0,255.5,405.0375,23.0,26
M4.6,B1,salida,mediana_entre_tareas,384.75,247.5,410.0,18.0,22
M4.6,B2,salida,mediana_entre_tareas,918.25,524.5,1414.0,20.0,23
M4.6,B3,salida,mediana_entre_tareas,1077.0,660.0,1384.0,19.0,23
M4.6,B0,total,suma_corrida,510190.0,,,,26
M4.6,B1,total,suma_corrida,349551.0,,,,22
M4.6,B2,total,suma_corrida,710723.0,,,,23
M4.6,B3,total,suma_corrida,773784.0,,,,23
M4.6,,total,suma_corrida,2344248.0,,,,94
M4.7,B0,,mediana_entre_tareas,0.0,0.0,0.0,23.0,26
M4.7,B1,,mediana_entre_tareas,0.0,0.0,0.0,18.0,22
M4.7,B2,,mediana_entre_tareas,0.0,0.0,0.0,20.0,23
M4.7,B3,,mediana_entre_tareas,0.0,0.0,0.0,19.0,23
M4.7,B0,,proyeccion_1000_solicitudes,0.0,0.0,0.0,23.0,26
M4.7,B1,,proyeccion_1000_solicitudes,0.0,0.0,0.0,18.0,22
M4.7,B2,,proyeccion_1000_solicitudes,0.0,0.0,0.0,20.0,23
M4.7,B3,,proyeccion_1000_solicitudes,0.0,0.0,0.0,19.0,23
