codigo,arquitectura,tokens,estadistico,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
M4.1,B0,,mediana_entre_tareas,5516.96965,4950.8237,6643.7698,40.0,120
M4.1,B1,,mediana_entre_tareas,5817.8373,4800.54425,6321.2981,40.0,120
M4.1,B2,,mediana_entre_tareas,12188.46315,8745.731,14169.0898,40.0,120
M4.1,B3,,mediana_entre_tareas,12201.10055,8725.90345,13311.99285,40.0,120
M4.1,B0,,p95_ejecuciones,14231.87288,,,,120
M4.1,B0,,rango_intercuartilico_ejecuciones,5202.81725,,,,120
M4.1,B1,,p95_ejecuciones,13593.6782,,,,120
M4.1,B1,,rango_intercuartilico_ejecuciones,4767.42185,,,,120
M4.1,B2,,p95_ejecuciones,24539.989685,,,,120
M4.1,B2,,rango_intercuartilico_ejecuciones,11912.199125,,,,120
M4.1,B3,,p95_ejecuciones,24281.17762,,,,120
M4.1,B3,,rango_intercuartilico_ejecuciones,12315.44545,,,,120
M4.4,B0,,mediana_entre_tareas,3.0,2.5,3.0,40.0,120
M4.4,B1,,mediana_entre_tareas,3.0,2.0,3.0,40.0,120
M4.4,B2,,mediana_entre_tareas,7.0,4.5,7.5,40.0,120
M4.4,B3,,mediana_entre_tareas,7.0,4.0,7.5,40.0,120
M4.5,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.5,B1,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.5,B2,,mediana_entre_tareas,4.0,2.0,4.0,40.0,120
M4.5,B3,,mediana_entre_tareas,4.0,2.0,4.0,40.0,120
M4.6,B0,total,mediana_entre_tareas,16596.5,13207.0,16718.5,40.0,120
M4.6,B1,total,mediana_entre_tareas,16442.5,10759.0,16634.0,40.0,120
M4.6,B2,total,mediana_entre_tareas,24671.0,16942.0,27975.5,40.0,120
M4.6,B3,total,mediana_entre_tareas,24599.5,16046.0,27951.5,40.0,120
M4.6,B0,entrada,mediana_entre_tareas,16251.5,12929.5,16397.5,40.0,120
M4.6,B1,entrada,mediana_entre_tareas,16160.0,10473.5,16308.0,40.0,120
M4.6,B2,entrada,mediana_entre_tareas,23927.5,16481.0,27406.5,40.0,120
M4.6,B3,entrada,mediana_entre_tareas,23898.5,15523.0,27383.5,40.0,120
M4.6,B0,salida,mediana_entre_tareas,316.5,254.5,363.5,40.0,120
M4.6,B1,salida,mediana_entre_tareas,320.0,252.0,374.0,40.0,120
M4.6,B2,salida,mediana_entre_tareas,642.0,419.5,855.5,40.0,120
M4.6,B3,salida,mediana_entre_tareas,669.0,371.0,830.5,40.0,120
M4.6,B0,total,suma_corrida,2304612.0,,,,120
M4.6,B1,total,suma_corrida,2261203.0,,,,120
M4.6,B2,total,suma_corrida,3232416.0,,,,120
M4.6,B3,total,suma_corrida,3196909.0,,,,120
M4.6,,total,suma_corrida,10995140.0,,,,480
M4.7,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B1,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B2,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B3,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B0,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
M4.7,B1,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
M4.7,B2,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
M4.7,B3,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
