categoria,arquitectura,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
global,B0,0.952381,0.842105,1.0,21,24
global,B1,1.0,1.0,1.0,16,20
global,B2,0.925,0.804348,1.0,20,23
global,B3,0.944444,0.818182,1.0,18,22
informativa,B0,1.0,1.0,1.0,4,5
informativa,B1,1.0,1.0,1.0,5,5
informativa,B2,0.833333,0.5,1.0,6,7
informativa,B3,0.875,0.625,1.0,8,8
diagnostico,B0,1.0,1.0,1.0,5,5
diagnostico,B1,1.0,1.0,1.0,4,6
diagnostico,B2,0.928571,0.785714,1.0,7,9
diagnostico,B3,1.0,1.0,1.0,3,3
compuesta,B0,0.833333,0.5,1.0,6,7
compuesta,B1,1.0,1.0,1.0,3,4
compuesta,B2,1.0,1.0,1.0,4,4
compuesta,B3,1.0,1.0,1.0,5,7
adversarial,B0,1.0,1.0,1.0,6,7
adversarial,B1,1.0,1.0,1.0,4,5
adversarial,B2,1.0,1.0,1.0,3,3
adversarial,B3,1.0,1.0,1.0,2,4
